route_id,stop_index,distance_km,departure_hour,num_stops,load_ratio,service_time_sec,stop_volume_cm3,num_packages,zone_id,stop_density,executor_capacity_cm3,actual_travel_time_sec
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,0,15.7831,10,119,0.9153,184.79999999999998,107970.047,7,283,0.0634,3313071.0,2245.1
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,1,0.0398,10,119,0.9153,34.0,5942.01,1,283,25.1445,3313071.0,38.92
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,2,0.1515,10,119,0.9153,145.0,8010.522999999999,2,283,6.6012,3313071.0,171.38
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,3,0.1426,10,119,0.9153,90.0,19134.644,2,586,7.0133,3313071.0,113.53
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,4,0.1755,10,119,0.9153,254.10000000000002,21141.936,3,586,5.6996,3313071.0,272.97
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,5,0.1803,10,119,0.9153,136.0,154889.519,4,781,5.5451,3313071.0,155.66
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,6,0.1354,10,119,0.9153,62.0,22552.847999999998,2,781,7.3862,3313071.0,77.25
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,7,0.1946,10,119,0.9153,59.0,5965.967,2,40,5.1384,3313071.0,81.28
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,8,0.132,10,119,0.9153,15.0,5380.584,1,40,7.5744,3313071.0,33.76
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,9,0.0982,10,119,0.9153,37.0,5981.580000000001,1,40,10.1791,3313071.0,45.7
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,10,0.0321,10,119,0.9153,63.0,17886.329999999998,1,40,31.1667,3313071.0,66.81
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,11,0.1062,10,119,0.9153,379.79999999999995,118517.02,6,40,9.4176,3313071.0,391.61
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,12,0.0951,10,119,0.9153,88.0,1709.895,1,40,10.5139,3313071.0,97.25
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,13,0.1533,10,119,0.9153,147.0,32159.260000000002,1,801,6.5224,3313071.0,177.54
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,14,0.1875,10,119,0.9153,130.0,30867.096,1,40,5.3327,3313071.0,146.15
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,15,0.2949,10,119,0.9153,207.0,42891.408,3,801,3.3907,3313071.0,232.23
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,16,0.1538,10,119,0.9153,184.0,21376.664,4,801,6.503,3313071.0,201.44
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,17,0.2403,10,119,0.9153,122.0,98546.285,2,801,4.1615,3313071.0,149.28
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,18,0.124,10,119,0.9153,71.0,13392.72,1,801,8.0676,3313071.0,89.06
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,19,0.1808,10,119,0.9153,40.0,3044.076,1,801,5.5307,3313071.0,65.89
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,20,0.0463,10,119,0.9153,96.0,32321.540000000005,2,801,21.6045,3313071.0,102.27
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,21,0.142,10,119,0.9153,293.0,42689.804,5,789,7.0404,3313071.0,314.3
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,22,0.3653,10,119,0.9153,101.10000000000001,14108.767,3,789,2.7377,3313071.0,161.39
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,23,0.1568,10,119,0.9153,68.0,8721.029,2,789,6.3779,3313071.0,103.9
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,24,0.1283,10,119,0.9153,34.0,5741.924,1,651,7.794,3313071.0,56.78
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,25,0.3015,10,119,0.9153,49.0,7049.835999999999,2,651,3.3164,3313071.0,82.93
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,26,0.1636,10,119,0.9153,79.0,5380.584,1,651,6.1136,3313071.0,113.86
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,27,0.2408,10,119,0.9153,115.0,53292.96,2,356,4.1522,3313071.0,153.54
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,28,0.1069,10,119,0.9153,117.0,10957.303,3,356,9.3581,3313071.0,128.79
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,29,0.1008,10,119,0.9153,96.89999999999999,15800.545,3,356,9.9249,3313071.0,115.58
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,30,0.2097,10,119,0.9153,88.0,10440.233999999999,1,356,4.7684,3313071.0,121.39
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,31,0.1093,10,119,0.9153,76.0,25924.632,1,356,9.1451,3313071.0,92.94
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,32,0.2154,10,119,0.9153,38.0,409.92,1,302,4.643,3313071.0,77.01
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,33,0.1284,10,119,0.9153,24.0,4580.064,1,302,7.7863,3313071.0,42.71
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,34,0.0927,10,119,0.9153,62.0,44167.557,2,302,10.7847,3313071.0,70.45
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,35,0.1594,10,119,0.9153,134.0,5741.924,1,302,6.2751,3313071.0,153.36
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,36,0.0,10,119,0.9153,231.0,13297.312,1,302,3700.0,3313071.0,231.0
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,37,0.1372,10,119,0.9153,88.0,10440.233999999999,1,465,7.286,3313071.0,102.69
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,38,0.332,10,119,0.9153,105.0,5248.8020000000015,2,302,3.0118,3313071.0,138.14
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,39,0.3041,10,119,0.9153,105.0,10030.328,2,448,3.2889,3313071.0,163.32
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,40,0.4766,10,119,0.9153,66.0,9238.309,3,756,2.0983,3313071.0,119.16
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,41,0.0778,10,119,0.9153,54.0,2274.318,1,756,12.8521,3313071.0,69.0
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,42,0.165,10,119,0.9153,95.0,23628.253999999997,2,756,6.0588,3313071.0,114.41
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,43,0.0273,10,119,0.9153,106.0,2089.1639999999998,1,756,36.6219,3313071.0,108.83
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,44,0.126,10,119,0.9153,42.0,5741.924,1,756,7.9389,3313071.0,66.13
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,45,0.1314,10,119,0.9153,163.0,9522.192000000001,1,756,7.61,3313071.0,183.59
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,46,0.2333,10,119,0.9153,27.0,2466.0,1,756,4.2869,3313071.0,70.26
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,47,0.0458,10,119,0.9153,162.0,20080.311999999998,4,802,21.8309,3313071.0,170.37
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,48,0.1064,10,119,0.9153,179.10000000000002,39515.794,3,802,9.3967,3313071.0,197.86
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,49,0.1104,10,119,0.9153,703.8000000000001,98127.75,18,802,9.0612,3313071.0,726.01
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,50,0.0587,10,119,0.9153,120.89999999999999,4530.93,3,400,17.0291,3313071.0,131.07
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,51,0.1238,10,119,0.9153,92.1,62425.432,3,400,8.078,3313071.0,111.63
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,52,0.2612,10,119,0.9153,164.10000000000002,21936.752,3,400,3.8285,3313071.0,221.45
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,53,0.0807,10,119,0.9153,44.0,17886.329999999998,1,400,12.3882,3313071.0,52.91
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,54,0.0973,10,119,0.9153,89.0,25924.632,1,400,10.2776,3313071.0,106.94
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,55,0.5042,10,119,0.9153,99.0,54211.91999999999,1,400,1.9834,3313071.0,159.91
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,56,0.109,10,119,0.9153,64.0,7937.706,1,400,9.1777,3313071.0,77.17
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,57,0.1057,10,119,0.9153,48.0,25924.632,1,478,9.465,3313071.0,66.98
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,58,0.2397,10,119,0.9153,43.0,8928.48,2,478,4.1726,3313071.0,70.38
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,59,0.1003,10,119,0.9153,47.0,13392.72,1,478,9.9741,3313071.0,57.56
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,60,0.1552,10,119,0.9153,45.0,1611.792,1,478,6.4415,3313071.0,78.17
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,61,0.1527,10,119,0.9153,92.1,16889.617,3,478,6.5493,3313071.0,117.77
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,62,0.141,10,119,0.9153,52.0,13297.312,1,478,7.0928,3313071.0,64.27
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,63,0.1394,10,119,0.9153,81.0,12567.608999999999,2,478,7.1737,3313071.0,96.87
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,64,0.0463,10,119,0.9153,56.0,5741.924,1,478,21.6181,3313071.0,66.94
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,65,0.1901,10,119,0.9153,523.6,179767.872,11,220,5.2611,3313071.0,556.11
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,66,0.0961,10,119,0.9153,84.0,21322.442,2,220,10.4043,3313071.0,93.45
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,67,0.1901,10,119,0.9153,28.0,5741.924,1,220,5.2611,3313071.0,51.29
